id,title,country,year,score,berserk_cos,centroid_cos,top_tags
30013,One Piece,JP,1997,0.8780091716346757,0.459494923858744,0.6204815742165192,"Pirates, Travel, Found Family, Shounen, Ensemble Cast"
30044,Gin Tama,JP,2003,0.8614566727386556,0.30262178701856407,0.5096306400646743,"Found Family, Parody, Samurai, Meta, Swordplay"
87170,Fire Punch,JP,2016,0.8591783170649014,0.5206787663446459,0.6222990435657316,"Post-Apocalyptic, Tragedy, Suicide, Dystopian, Revenge"
43492,Blue Exorcist,JP,2009,0.8457443035200425,0.3144135700898922,0.572050739251029,"Demons, Male Protagonist, Shounen, Conspiracy, Urban Fantasy"
43949,Medaka Box,JP,2009,0.8407612436426378,0.21224789792495863,0.4150860453090844,"School, Large Breasts, Super Power, Coming of Age, Meta"
99536,Talentless Nana,JP,2016,0.8290200748773155,0.3332156118933765,0.4661518972871943,"Conspiracy, Dystopian, Tragedy, Assassins, Super Power"
30026,Hunter x Hunter,JP,1998,0.8283676397115514,0.4053544762053299,0.6638836353564245,"Shounen, Super Power, Cultivation, Ensemble Cast, Travel"
30012,Bleach,JP,2001,0.8153705676657322,0.34155502117365044,0.6668516995419799,"Shounen, Swordplay, Super Power, Ghost, Male Protagonist"
97897,Killing Stalking,KR,2016,0.8126302914229203,0.3627474108450834,0.3676006892490189,"Tragedy, Yandere, Sadism, Human Pet, Rape"
105778,Chainsaw Man,JP,2018,0.8046760810069009,0.44950241376935157,0.608777516326281,"Demons, Tragedy, Urban Fantasy, Psychosexual, Coming of Age"
98328,Jagaaan,JP,2017,0.7966236076702039,0.5083281258909185,0.610857156045538,"Aliens, Super Power, Seinen, Anti-Hero, Tragedy"
86864,Gabriel Dropout,JP,2013,0.7901704168941277,0.0791854157246207,0.25510138804544014,"Angels, School, Cute Girls Doing Cute Things, Demons, Otaku Culture"
41054,Billy Bat,JP,2008,0.7891315550270761,0.384540836925431,0.4598740141230265,"Drawing, Historical, Time Manipulation, Seinen, Conspiracy"
30101,Shugo Chara!,JP,2006,0.787713530270975,0.1884708648959073,0.24098918946701933,"Shoujo, School, Magic, Female Protagonist, Primarily Child Cast"
44369,Tsugumomo,JP,2007,0.7869761307310721,0.3783242319083319,0.5042383317396406,"Super Power, Nudity, Seinen, Gods, Magic"
69625,Kagerou Daze,JP,2012,0.784806421435088,0.18722281828158177,0.3142424424477863,"Urban Fantasy, Primarily Teen Cast, Super Power, Ensemble Cast, Tragedy"
30021,Death Note,JP,2003,0.7789129632039247,0.2988742799736982,0.4990562151725138,"Detective, Police, Anti-Hero, Urban Fantasy, Tragedy"
30027,X,JP,1992,0.7760302008960994,0.3971311604565072,0.5687327913189453,"Urban Fantasy, Gore, Tragedy, Shoujo, Magic"
102547,A Dating Sim of Life or Death,JP,2017,0.7747612923295923,0.19711098111296554,0.42892169964673565,"Video Games, Time Manipulation, Yandere, Death Game, Super Power"
30102,Fruits Basket,JP,1998,0.7743185338837532,0.29803256298178044,0.3243565477899014,"Shoujo, Mythology, Animals, Ensemble Cast, Tragedy"
30756,Banana Fish,JP,1985,0.7712869101652755,0.3845151235793095,0.47626183821232254,"Mafia, Tragedy, Gangs, Conspiracy, Drugs"
108556,SPY x FAMILY,JP,2019,0.7684027268868062,0.20501220068900522,0.3954915695802465,"Family Life, Espionage, Found Family, War, Assassins"
102989,Summertime Rendering,JP,2017,0.765134352829182,0.31716431621033064,0.5497836845613615,"Time Manipulation, Rural, Shounen, Male Protagonist, Ensemble Cast"
44790,Magi: The Labyrinth of Magic,JP,2009,0.7645015562886401,0.4477093726698704,0.5942185486112266,"Magic, Foreign, Conspiracy, War, Politics"
85189,Mob Psycho 100,JP,2012,0.7638418434828836,0.27472445189680367,0.4871642359987035,"Coming of Age, Philosophy, Super Power, Urban Fantasy, Ghost"
30092,Sailor Moon,JP,1991,0.7626508855808332,0.37190784992777964,0.3816526875809589,"Shoujo, Primarily Female Cast, Reincarnation, Magic, Lost Civilization"
87216,Demon Slayer: Kimetsu no Yaiba,JP,2016,0.7613138266417745,0.421507043055382,0.6974069821845612,"Demons, Shounen, Swordplay, Tragedy, Male Protagonist"
85281,MURCIÉLAGO,JP,2013,0.7596969813773512,0.3217797647267829,0.40646347568491814,"Gore, Anti-Hero, Female Protagonist, Nudity, Police"
85611,Tokyo Ghoul:re,JP,2014,0.7596103347605851,0.5130642108423916,0.583886312061636,"Tragedy, Dissociative Identities, Seinen, Amnesia, Philosophy"
30133,Tokyo Babylon,JP,1990,0.7515113441482802,0.23982835066921881,0.31638901342271636,"Magic, Twins, Ghost, Tragedy, Shoujo"
30003,20th Century Boys,JP,1999,0.7498565585754728,0.4081520326241228,0.4163578546288339,"Ensemble Cast, Coming of Age, Seinen, Politics, Dystopian"
72579,Kubera,KR,2010,0.7495134176501539,0.38354857481922255,0.44815027876526703,"Revenge, Gods, Ensemble Cast, Tragedy, Full Color"
86526,Platinum End,JP,2015,0.7482322135005488,0.3511650064213261,0.5129046271805391,"Gods, Angels, Shounen, Cosmic Horror, Urban"
30664,Akira,JP,1982,0.7475045892356518,0.48677253752855076,0.5338414216063361,"Dystopian, Cyberpunk, Military, Post-Apocalyptic, Tragedy"
35293,Doubt,JP,2007,0.7466958608800235,0.2624765447229028,0.40708194456402935,"Death Game, Shounen, Revenge, Crime, Tragedy"
63327,Tokyo Ghoul,JP,2011,0.7458013579415916,0.495187032400692,0.5822154189360055,"Tragedy, Cannibalism, Urban Fantasy, Gore, Male Protagonist"
117230,Suicide Girl,JP,2020,0.7442151225727913,0.33675996287383925,0.4462862895875393,"Suicide, Seinen, Female Protagonist, Magic, Demons"
30704,Trigun Maximum,JP,1997,0.7436597732645218,0.4188171826540081,0.5499624739087156,"Dystopian, Guns, Steampunk, Male Protagonist, Aliens"
30584,Future Diary,JP,2006,0.743162841542081,0.24554067391231416,0.498616735691079,"Battle Royale, Yandere, Shounen, Time Manipulation, Death Game"
85307,Bungo Stray Dogs,JP,2012,0.7404257574445304,0.37649996242727035,0.5824373180386959,"Urban Fantasy, Detective, Super Power, Mafia, Crime"
31706,JoJo's Bizarre Adventure: Part 7–Steel Ball Run,JP,2004,0.7391850204905508,0.4639325976112659,0.6120323592628518,"Travel, Cowboys, Super Power, Male Protagonist, Seinen"
85310,Tales of Wedding Rings,JP,2014,0.7386756489461223,0.39615022145129525,0.49620350262906743,"Female Harem, Isekai, Male Protagonist, Elf, Polyamorous"
74485,The Seven Deadly Sins,JP,2012,0.7378415366284448,0.48455102095521335,0.6937536562954653,"Shounen, Ensemble Cast, Demons, Super Power, Magic"
114416,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",JP,2019,0.737620915528572,0.16965619443746877,0.17744919475232393,"Polyamorous, Female Harem, Ensemble Cast, Surreal Comedy, Meta"
128666,The Elusive Samurai,JP,2021,0.7361760821188902,0.36814357356578387,0.5756594850773344,"Samurai, Shounen, Historical, Surreal Comedy, War"
174515,Nebula's Civilization,KR,2023,0.7347790609087639,0.3748311202209168,0.4471263746012743,"Gods, Male Protagonist, War, Anthropomorphism, Travel"
40010,Beelzebub,JP,2009,0.730342316442969,0.18463801864784374,0.436493294659984,"Delinquents, Shounen, Demons, Primarily Male Cast, Adoption"
30025,Fullmetal Alchemist,JP,2001,0.729583295731587,0.48194111873950346,0.6763091417437656,"Alchemy, Conspiracy, Politics, Philosophy, Military"
127564,Go! Go! Loser Ranger!,JP,2021,0.7276828097482037,0.2826428052094919,0.5008910941515926,"Revenge, Tokusatsu, Anti-Hero, Henshin, Urban Fantasy"
54692,Noragami: Stray God,JP,2010,0.7273338165959801,0.36319817880576927,0.5976507953021257,"Gods, Reincarnation, Male Protagonist, Youkai, Mythology"
